besttime Êרטרעמפ 1.8600000000000012
point 0.05 3.0 0.2
point 1.0 2.0 -0.4
point 1.5 2.0 -1.0
point 2.06 2.8 0.0
point 2.99 3.65 0.2
point 4.6 2.61 0.2
point 5.22 2.19 0.2
point 5.5 0.3 0.2
body  0.2 3.7 0.1
velocity 0 0
velocity 0.02 0.19599999999999979
velocity 0.04 0.39200000000000074
velocity 0.06 0.588
velocity 0.08 0.7839999999999961
velocity 0.1 0.9799999999999923
velocity 0.12000000000000001 1.1759999999999886
velocity 0.14 1.3719999999999848
velocity 0.16 1.567999999999981
velocity 0.18 1.7639999999999771
velocity 0.19999999999999998 1.9599999999999733
velocity 0.21999999999999997 2.1559999999999695
velocity 0.23999999999999996 2.3519999999999657
velocity 0.25999999999999995 2.547999999999962
velocity 0.27999999999999997 2.743999999999958
velocity 0.3 2.939999999999954
velocity 0.32 3.1359999999999504
velocity 0.34 3.3319999999999466
velocity 0.36000000000000004 3.5279999999999427
velocity 0.38000000000000006 3.7107021894983028
velocity 0.4000000000000001 3.8236044844146657
velocity 0.4200000000000001 3.9387053037638173
velocity 0.4400000000000001 4.053806128265118
velocity 0.46000000000000013 4.168906957491826
velocity 0.48000000000000015 4.28400779106306
velocity 0.5000000000000001 4.399108628637803
velocity 0.5200000000000001 4.514209469909816
velocity 0.5400000000000001 4.629310314603319
velocity 0.5600000000000002 4.744411162469292
velocity 0.5800000000000002 4.859512013282309
velocity 0.6000000000000002 4.9746128668378065
velocity 0.6200000000000002 5.0897137229497265
velocity 0.6400000000000002 5.204814581448468
velocity 0.6600000000000003 5.313712631037812
velocity 0.6800000000000003 5.392112631037846
velocity 0.7000000000000003 5.47051263103788
velocity 0.7200000000000003 5.548912631037914
velocity 0.7400000000000003 5.551442035222267
velocity 0.7600000000000003 5.5032711982957405
velocity 0.7800000000000004 5.455100361369215
velocity 0.8000000000000004 5.406929524442688
velocity 0.8200000000000004 5.358758687516163
velocity 0.8400000000000004 5.310587850589637
velocity 0.8600000000000004 5.262417013663111
velocity 0.8800000000000004 5.2142461767365855
velocity 0.9000000000000005 5.166075339810059
velocity 0.9200000000000005 5.015770326319761
velocity 0.9400000000000005 4.857490868569259
velocity 0.9600000000000005 4.702054349970635
velocity 0.9800000000000005 4.549752156098374
velocity 1.0000000000000004 4.400909707522507
velocity 1.0200000000000005 4.255890015685305
velocity 1.0400000000000005 4.115097252490382
velocity 1.0600000000000005 3.978980141857699
velocity 1.0800000000000005 3.8480348934413175
velocity 1.1000000000000005 3.7228072892624926
velocity 1.1200000000000006 3.603893406418947
velocity 1.1400000000000006 3.4919383237213646
velocity 1.1600000000000006 3.387632038536355
velocity 1.1800000000000006 3.2917017483912456
velocity 1.2000000000000006 3.2048996820814826
velocity 1.2200000000000006 3.1274685548909633
velocity 1.2400000000000007 3.0411825694414967
velocity 1.2600000000000007 2.9839945969134494
velocity 1.2800000000000007 2.93879024228381
velocity 1.3000000000000007 2.906128768977108
velocity 1.3200000000000007 2.8864359954120355
velocity 1.3400000000000007 2.8799779668157424
velocity 1.3600000000000008 2.886843505124239
velocity 1.3800000000000008 2.906938210009265
velocity 1.4000000000000008 2.93999083171117
velocity 1.4200000000000008 2.985571038223609
velocity 1.4400000000000008 3.0431159619727697
velocity 1.4600000000000009 3.111961936101936
velocity 1.4800000000000009 3.1913776688886517
velocity 1.5000000000000009 3.2805956409187362
velocity 1.520000000000001 3.3788394594814446
velocity 1.540000000000001 3.4853459550929378
velocity 1.560000000000001 3.5993817191868582
velocity 1.580000000000001 3.720254439436956
velocity 1.600000000000001 3.847319771982076
velocity 1.620000000000001 3.979984643389726
velocity 1.640000000000001 4.117707869112605
velocity 1.660000000000001 4.2599988766531025
velocity 1.680000000000001 4.4064151827556515
velocity 1.700000000000001 4.556559129052682
velocity 1.720000000000001 4.710074248914465
velocity 1.740000000000001 4.866641528202068
velocity 1.7600000000000011 5.025975735889998
velocity 1.7800000000000011 5.187821935214161
velocity 1.8000000000000012 5.351952238690424
velocity 1.8200000000000012 5.432157296667955
velocity 1.8400000000000012 5.509610380055047
velocity 1.8600000000000012 5.587063983098747
